companyInternationalName,companyIdentifier,primaryIndustryType,primaryIndustryCode,entityLegalForm,largeFirm,primaryCountry,primaryStateProvince,recommendedModel,financialStatementDate,currency,units,statementType,regulatoryFilingType,auditQuality,reportingPeriod,cashAndMarketableSecurities,totalAccountsReceivable,totalInventory,totalCurrentAssets,totalAccumulatedDepreciation,totalFixedAssets,totalIntangibleAssets,totalAssets,notesPayable,debtCurrentMaturities,shortTermDebt,totalAccountsPayable,totalCurrentLiabilities,totalLongTermDebt,totalNonCurrentLiabilities,totalProvisions,totalLiabilities,retainedEarnings,netWorth,netSales,totalCostOfGoodsSold,grossIncome,totalWageExpense,totalAmortizationAndDepreciation,totalOperatingExpense,totalOperatingProfit,financeCosts,profitBeforeTaxesAndExtraordinaryExpenses,currentIncomeTaxExpense,totalExtraordinaryItems,netIncome,ebitda
K C  SUMMERS TOYOTA  12088,T001T12088,NAICS,4411,,,USA,IL,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,101851.276,,,,,,-169.499,,,,,,
MAGUIRE CDJR FIAT OF ITHACA  31405,T001T31405,NAICS,4411,,,USA,NY,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,221.508,,2941.372,,,,,5718.997,,,,,2747.317,,,,,21.731,,22131.821,,,,111.016,,-485.551,175.961,,,,116.474,
MAGUIRE CDJR FIAT OF ITHACA  31405,T001T31405,NAICS,4411,,,USA,NY,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,28564.843,,,,,,-93.028,,,,,,
CARSON TOYOTA  04250,T001T04250,NAICS,4411,,,USA,CA,UDS 4.0,2023-01-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,6487.847,,3961.413,,,,,13713.022,,,,,4386.752,,,,,48787.203,,156440.074,,,,1005.777,,15978.446,744.918,,,,18148.961,
CARSON TOYOTA  04250,T001T04250,NAICS,4411,,,USA,CA,UDS 4.0,2022-01-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,193181.604,,,,,,20716.108,,,,,,
ALAMO TOYOTA,T001T42116,NAICS,4411,,,USA,TX,UDS 4.0,2024-05-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,2882.984,,10399.164,,,,,22612.197,,,,,10477.912,,,,,34654.496,,218626.4808,,,,510.0288,,-465.7872,421.3272,,,,6388.548,
ALAMO TOYOTA,T001T42116,NAICS,4411,,,USA,TX,UDS 4.0,2023-05-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,180101.403,,,,,,5299.719,,,,,,
CLINT NEWELL TOYOTA  36082  CHEVROLET  36506  GMC  36508,T001T36082,NAICS,4411,,,USA,OR,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,1716.235,,5275.381,,,,,17674.166,,,,,3476.159,,,,,12950.332,,64189.36,,,,650.405,,2928.516,387.761,,,,3805.665,
CLINT NEWELL TOYOTA  36082  CHEVROLET  36506  GMC  36508,T001T36082,NAICS,4411,,,USA,OR,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,59444.137,,,,,,2491.797,,,,,,
LEXUS OF CHERRY HILL  62901,T001T62901,NAICS,4411,,,USA,NJ,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,3396.83,,9150.784,,,,,24411.272,,,,,13883.635,,,,,5857.056,,142793.031,,,,1336.55,,-143.131,1334.084,,,,3959.924,
LEXUS OF CHERRY HILL  62901,T001T62901,NAICS,4411,,,USA,NJ,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,141082.392,,,,,,1056.995,,,,,,
MARSHALL CHRYSLER DODGE JEEP RAM  16550,T001T16550,NAICS,4411,,,USA,KY,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,464.312,,5532.348,,,,,6588.255,,,,,4743.101,,,,,911.054,,24118.429,,,,28.658,,-596.875,269.918,,,,0.0,
MARSHALL CHRYSLER DODGE JEEP RAM  16550,T001T16550,NAICS,4411,,,USA,KY,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,24891.49,,,,,,-225.637,,,,,,
BERGSTROM LEXUS OF APPLETON  64804,T001T64804,NAICS,4411,,,USA,WI,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,2028.393,,2048.031,,,,,11659.471,,,,,3848.662,,,,,4306.978,,50243.929,,,,542.111,,738.747,468.179,,,,2829.32,
BERGSTROM LEXUS OF APPLETON  64804,T001T64804,NAICS,4411,,,USA,WI,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,48115.121,,,,,,606.586,,,,,,
